"","record_code","format_version","submission_date","reporting_agency","sampling_agency","recovery_id","species","run_year","recovery_date","recovery_date_type","period_type","period","fishery","gear","adclip_selective_fishery","estimation_level","recovery_location_code","sampling_site","recorded_mark","sex","weight","weight_code","weight_type","length","length_code","length_type","detection_method","tag_status","tag_code","tag_type","sequential_number","sequential_column_number","sequential_row_number","catch_sample_id","sample_type","sampled_maturity","sampled_run","sampled_length_range","sampled_sex","sampled_mark","estimated_number","recovery_location_name","record_origin"
"23","R",4.1,20030701,"WDFW","WDFW","3809600",1,1974,19741110,"R",4,11,45,"95","N",4,"3M11413  872184","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"110103",0,NA,NA,NA,"0",2,NA,NA,NA,"",NA,2.2,"GENERAL - AREA 13","N"
"24","R",4.1,20030701,"WDFW","WDFW","8004900",1,1974,19740801,"R",6,31,23,"14","N",4,"3M10208","",5000,"",NA,NA,NA,NA,NA,NA,"V",2,"",NA,NA,NA,NA,"0",1,NA,NA,NA,"",NA,2.4,"SKAGIT BAY  (AREA 8)","N"
"25","R",4.1,20030701,"WDFW","WDFW","1240000",1,1974,19741117,"R",4,11,45,"95","N",4,"3M11410  872181","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"150906",0,NA,NA,NA,"0",1,NA,NA,NA,"",NA,2.9,"GENERAL - AREA 10","N"
"16090","R",4.1,20021206,"CDFO","CDFO","00000001",1,1974,1974,"C",8,2,50,"40","N",5,"2FS99GSVIH0105","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"020401",0,NA,NA,NA,"10105122",1,2,NA,NA,"",NA,1,"H-PUNTLEDGE R","N"
"16091","R",4.1,20021206,"CDFO","CDFO","00000002",1,1974,1974,"C",8,2,50,"40","N",5,"2FS99GSVIH0105","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"020401",0,NA,NA,NA,"10105122",1,2,NA,NA,"",NA,1,"H-PUNTLEDGE R","N"
"16092","R",4.1,20021206,"CDFO","CDFO","00000003",1,1974,1974,"C",8,2,50,"40","N",5,"2FS99GSVIH0105","",5000,"",NA,NA,NA,NA,NA,NA,"V",2,"",NA,NA,NA,NA,"10105122",1,2,NA,NA,"",NA,NA,"H-PUNTLEDGE R","N"
"16093","R",4.1,20021206,"CDFO","CDFO","00009972",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16094","R",4.1,20021206,"CDFO","CDFO","00009973",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16095","R",4.1,20021206,"CDFO","CDFO","00009974",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16096","R",4.1,20021206,"CDFO","CDFO","00009975",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16097","R",4.1,20021206,"CDFO","CDFO","00009976",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16098","R",4.1,20021206,"CDFO","CDFO","00009977",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16099","R",4.1,20021206,"CDFO","CDFO","00009978",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16100","R",4.1,20021206,"CDFO","CDFO","00009979",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16101","R",4.1,20021206,"CDFO","CDFO","00009980",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16102","R",4.1,20021206,"CDFO","CDFO","00009981",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16103","R",4.1,20021206,"CDFO","CDFO","00009982",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16104","R",4.1,20021206,"CDFO","CDFO","00009983",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16105","R",4.1,20021206,"CDFO","CDFO","00009984",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16106","R",4.1,20021206,"CDFO","CDFO","00009985",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16107","R",4.1,20021206,"CDFO","CDFO","00009986",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16108","R",4.1,20021206,"CDFO","CDFO","00009987",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16109","R",4.1,20021206,"CDFO","CDFO","00009988",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16110","R",4.1,20021206,"CDFO","CDFO","00009989",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
"16111","R",4.1,20021206,"CDFO","CDFO","00009990",1,1974,1974,"C",8,3,50,"40","N",5,"2FS99GSVIH0100","",5000,"",NA,NA,NA,NA,NA,NA,"V",1,"BLBRBL",5,NA,NA,NA,"10100133",1,3,NA,NA,"",NA,1.28,"H-BIG QUALICUM R","N"
