"record_code","format_version","submission_date","reporting_agency","sampling_agency","recovery_id","species","run_year","recovery_date","recovery_date_type","period_type","period","fishery","gear","adclip_selective_fishery","estimation_level","recovery_location_code","sampling_site","recorded_mark","sex","weight","weight_code","weight_type","length","length_code","length_type","detection_method","tag_status","tag_code","tag_type","sequential_number","sequential_column_number","sequential_row_number","catch_sample_id","sample_type","sampled_maturity","sampled_run","sampled_length_range","sampled_sex","sampled_mark","estimated_number","recovery_location_name","record_origin","year"
"R",4.1,20180621,"ODFW","ODFW","P7421",2,2017,20180117,"R",1,1,50,"21","N",4,"5F22208  H8     21","8",5000,"F",NA,NA,NA,650,0,1,"E",1,"090875",13,NA,NA,NA,"2017210010",1,NA,NA,NA,"",NA,1.03,"COLE RIVERS HATCHERY","N",2018
"R",4.1,20180621,"ODFW","ODFW","P7422",2,2017,20180117,"R",1,1,50,"21","N",4,"5F22208  H8     21","8",5000,"F",NA,NA,NA,670,0,1,"E",1,"090875",13,NA,NA,NA,"2017210010",1,NA,NA,NA,"",NA,1.03,"COLE RIVERS HATCHERY","N",2018
"R",4.1,20180621,"ODFW","ODFW","P7423",2,2017,20180117,"R",1,1,50,"21","N",4,"5F22208  H8     21","8",5000,"M",NA,NA,NA,680,0,1,"E",1,"090875",13,NA,NA,NA,"2017210010",1,NA,NA,NA,"",NA,1.03,"COLE RIVERS HATCHERY","N",2018
"R",4.1,20180621,"ODFW","ODFW","P7424",2,2017,20180117,"R",1,1,50,"21","N",4,"5F22208  H8     21","8",5000,"M",NA,NA,NA,660,0,1,"E",4,"",NA,NA,NA,NA,"2017210010",1,NA,NA,NA,"",NA,1.03,"COLE RIVERS HATCHERY","N",2018
"R",4.1,20180621,"ODFW","ODFW","P7425",2,2017,20180117,"R",1,1,50,"21","N",4,"5F22208  H8     21","8",5000,"F",NA,NA,NA,630,0,1,"E",1,"090875",13,NA,NA,NA,"2017210010",1,NA,NA,NA,"",NA,1.03,"COLE RIVERS HATCHERY","N",2018
"R",4.1,20180621,"ODFW","ODFW","P7426",2,2017,20180117,"R",1,1,50,"21","N",4,"5F22208  H8     21","8",5000,"F",NA,NA,NA,650,0,1,"E",1,"090875",13,NA,NA,NA,"2017210010",1,NA,NA,NA,"",NA,1.03,"COLE RIVERS HATCHERY","N",2018
"R",4.1,20180621,"ODFW","ODFW","P7427",2,2017,20180117,"R",1,1,50,"21","N",4,"5F22208  H8     21","8",5000,"F",NA,NA,NA,660,0,1,"E",4,"",NA,NA,NA,NA,"2017210010",1,NA,NA,NA,"",NA,1.03,"COLE RIVERS HATCHERY","N",2018
"R",4.1,20180621,"ODFW","ODFW","P7428",2,2017,20180117,"R",1,1,50,"21","N",4,"5F22208  H8     21","8",5000,"F",NA,NA,NA,650,0,1,"E",1,"090875",13,NA,NA,NA,"2017210010",1,NA,NA,NA,"",NA,1.03,"COLE RIVERS HATCHERY","N",2018
"R",4.1,20180621,"ODFW","ODFW","P7429",2,2017,20180117,"R",1,1,50,"21","N",4,"5F22208  H8     21","8",5000,"F",NA,NA,NA,640,0,1,"E",4,"",NA,NA,NA,NA,"2017210010",1,NA,NA,NA,"",NA,1.03,"COLE RIVERS HATCHERY","N",2018
"R",4.1,20180621,"ODFW","ODFW","P7430",2,2017,20180117,"R",1,1,50,"21","N",4,"5F22208  H8     21","8",5000,"M",NA,NA,NA,650,0,1,"E",4,"",NA,NA,NA,NA,"2017210010",1,NA,NA,NA,"",NA,1.03,"COLE RIVERS HATCHERY","N",2018
"R",4.1,20180621,"ODFW","ODFW","P7431",2,2017,20180117,"R",1,1,50,"21","N",4,"5F22208  H8     21","8",5000,"F",NA,NA,NA,670,0,1,"E",1,"090875",13,NA,NA,NA,"2017210010",1,NA,NA,NA,"",NA,1.03,"COLE RIVERS HATCHERY","N",2018
"R",4.1,20180621,"ODFW","ODFW","P7419",2,2017,20180110,"R",1,1,50,"21","N",4,"5F22208  H8     21","8",5000,"F",NA,NA,NA,630,0,1,"E",1,"090875",13,NA,NA,NA,"2017210010",1,NA,NA,NA,"",NA,1.03,"COLE RIVERS HATCHERY","N",2018
"R",4.1,20180621,"ODFW","ODFW","P7420",2,2017,20180110,"R",1,1,50,"21","N",4,"5F22208  H8     21","8",5000,"F",NA,NA,NA,660,0,1,"E",1,"090875",13,NA,NA,NA,"2017210010",1,NA,NA,NA,"",NA,1.03,"COLE RIVERS HATCHERY","N",2018
"R",4.1,20180621,"ODFW","ODFW","P5748",2,2017,20180116,"",1,1,54,"18","N",NA,"5F22227  R27316218","2731",5000,"F",NA,NA,NA,622,0,2,"V",2,"",NA,NA,NA,NA,"2017180042",1,NA,NA,NA,"",NA,NA,"BEAVER CR SFK (OCEAN","N",2018
