"release_location_state","release_location_rmis_region","stock_location_name","stock_location_code","N.year","first.year","last.year","total.release","avg.ann.release"
"AK","SEAK","PORT ARMSTRONG","1F1NE109 10",10,2006,2015,634104,63410.4
"AK","SEAK","LPW (UNUK R)","1F1NE109 1010090999",13,1981,2014,647297,49792.0769230769
"AK","SEAK","KING SALMON R","1F1NE111 1710100",17,1976,1995,984855,57932.6470588235
"AK","TAWH","TAKU R 111-32","1F1NE111 3210320",32,1975,2015,782286,24446.4375
"AK","SEAK","MACAULAY","1F1NE111 4099998",11,1990,2003,760611,69146.4545454545
"AK","SEAK","HIDDEN FALLS","1F1NE112 1110110",29,1987,2015,2200468,75878.2068965517
"AK","CHIL","CHILKAT R 115-32","1F1NE115 3210250",23,1987,2016,605231,26314.3913043478
"AK","CHIL","TAHINI R","1F1NE115 3210250175",5,1984,1991,210775,42155
"AK","SEAK","TAHINI R","1F1NE115 3210250175",11,1983,2000,357471,32497.3636363636
"AK","CHIL","BIG BOULDER CR115-32","1F1NE115 3210250998",5,1991,1995,216467,43293.4
"AK","SEAK","BURRO CR","1F1NE115 34",15,1994,2013,394502,26300.1333333333
"AK","SEAK","SHELDON JACKSON","1F1NW113 4110190999",12,1989,2010,135600,11300
"AK","SEAK","MEDVEJIE","1F1NW113 4110280",26,1989,2016,3862988,148576.461538462
"AK","SEAK","TAMGAS CR","1F1SE101 2510250",27,1987,2015,1376051,50964.8518518519
"AK","SEAK","WHITMAN LK","1F1SE101 4510070",32,1984,2015,5040103,157503.21875
"AK","SEAK","KETCHIKAN CR","1F1SE101 4710250",30,1981,2011,1496842,49894.7333333333
"AK","SEAK","CHICKAMIN R 101-71","1F1SE101 7110040",35,1976,2015,2554751,72992.8857142857
"AK","SEAK","UNUK R 101-75","1F1SE101 7510300",39,1976,2015,4186480,107345.641025641
"AK","STUN","UNUK R 101-75","1F1SE101 7510300",30,1982,2016,1025499,34183.3
"AK","SEAK","CRIPPLE CR","1F1SE101 7510300999",4,1977,1980,389341,97335.25
"AK","SEAK","NEETS BAY","1F1SE101 9010100",6,1985,1990,594688,99114.6666666667
"AK","SEAK","CRYSTAL CR","1F1SE106 4410310",34,1981,2015,6548548,192604.352941176
"AK","STUN","STIKINE R 108-40","1F1SE108 4010150",21,1976,2015,619294,29490.1904761905
"AK","SEAK","ANDREW CR 108-40","1F1SE108 4010150999",12,1976,2010,737885,61490.4166666667
"AK","CEAK","COPPER R 212-20","1F2PW212 2010080",5,2012,2016,134113,26822.6
"AK","CNAK","CHISTOCHINA R 212-20","1F2PW212 2010080257",1,2014,2014,6312,6312
"AK","CEAK","TONSINA R","1F2PW212 2010080331",3,1996,2014,58859,19619.6666666667
