"","state/prov","F/M","location_code","location_type","name","psc_basin","psc_region","description","rmpc_region","rmpc_basin","Rec.area-W","Rec.area.Shelton","Rec.area.Shelton2","Rec.area.Shelton3","Rec.area.Sullaway.Shelton","Rec.area.Sullaway.Shelton.two.Oregon","Rec.area.Sullaway.Shelton.SOR_NCA","Rec.area.Sullaway.Shelton.YAK_SOR_NCA","recovery_location_code","Rec.area.Sullaway.Shelton.NMFSstat","id"
"1","1","M","1M",1,"AK M","PENI","WEAK","Alaska marine","WEAK","PENI","AK","AK","AK","AK","AK","AK","AK","AK","1M","AK",1
"2","1","M","1M1",1,"AK M 1","PENI","WEAK","Alaska marine, Region 1","WEAK","PENI","NSE SSE","NSE SSE","NSE SSE","NSE SSE","NSE SSE","NSE SSE","NSEAK SSEAK","NSEAK SSEAK","1M1","NSEAK SSEAK",2
"3","1","M","1M1",NA,"AK M 1","SEAK","SEAK","Alaska marine, Region 1","WEAK","ALEU","NSE SSE","NSE SSE","NSE SSE","NSE SSE","NSE SSE","NSE SSE","NSEAK SSEAK","NSEAK SSEAK","1M1","NSEAK SSEAK",3
"4","1","M","1M1",NA,"AK M 1","SEAK","SEAK","Alaska marine, Region 1","WEAK","ALEU","NSE SSE","NSE SSE","NSE SSE","NSE SSE","NSE SSE","NSE SSE","NSEAK SSEAK","NSEAK SSEAK","1M1","NSEAK SSEAK",4
"5","1","M","1M1  001",1,"AK M 1 001","SEAKG","SEAK","Alaska marine, Region 1, District 001","SEAK","SEAKG","SSE","SSEAK","SSEAK","SSEAK","SSEAK","SSEAK","SSEAK","SSEAK","1M1  001","SSEAK",5
"6","1","M","1M1  001 00",1,"AK M 1 001-00","SEAKG","SEAK","Alaska marine, Region 1, District 001, Subdistrict 00","SEAK","SEAKG","SSE","SSEAK","SSEAK","SSEAK","SSEAK","SSEAK","SSEAK","SSEAK","1M1  001 00","SSEAK",6
"7","1","M","1M101",1,"AK M 1 01","SEAKG","SEAK","Alaska marine, Region 1, PELICAN,  Quadrant , District , Subdistrict","SEAK","SEAKG","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M101","NSEAK",7
"8","1","M","1M101    NW11391",1,"AK M 1 01 NW11391","SEAKG","SEAK","Alaska marine, Region 1, PELICAN,  Quadrant NW, District 113, Subdistrict 91","SEAK","SEAKG","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M101    NW11391","NSEAK",8
"9","1","M","1M101    NW11391",NA,"AK M 1 01 NW11391","SEAK","SEAK","Alaska marine, Region 1, PELICAN, Quadrant NW, District 113, Subdistrict 91","SEAK","SENW","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M101    NW11391","NSEAK",9
"10","1","M","1M101    NW11395",1,"AK M 1 01 NW11395","SEAKG","SEAK","Alaska marine, Region 1, PELICAN,  Quadrant NW, District 113, Subdistrict 95","SEAK","SEAKG","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M101    NW11395","NSEAK",10
"11","1","M","1M102    NW",1,"AK M 1 02 NW","SEAKG","SEAK","Alaska marine, Region 1, ELFIN COVE,  Quadrant NW, District , Subdistrict","SEAK","SEAKG","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M102    NW","NSEAK",11
"12","1","M","1M102    NW11391",1,"AK M 1 02 NW11391","SEAKG","SEAK","Alaska marine, Region 1, ELFIN COVE,  Quadrant NW, District 113, Subdistrict 91","SEAK","SEAKG","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M102    NW11391","NSEAK",12
"13","1","M","1M102    NW11391",NA,"AK M 1 02 NW11391","SEAK","SEAK","Alaska marine, Region 1, ELFIN COVE, Quadrant NW, District 113, Subdistrict 91","SEAK","SENW","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M102    NW11391","NSEAK",13
"14","1","M","1M102    NW11394",1,"AK M 1 02 NW11394","SEAKG","SEAK","Alaska marine, Region 1, ELFIN COVE,  Quadrant NW, District 113, Subdistrict 94","SEAK","SEAKG","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M102    NW11394","NSEAK",14
"15","1","M","1M102    NW11394",NA,"AK M 1 02 NW11394","SEAK","SEAK","Alaska marine, Region 1, ELFIN COVE, Quadrant NW, District 113, Subdistrict 94","SEAK","SENW","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M102    NW11394","NSEAK",15
"16","1","M","1M102    NW11421",1,"AK M 1 02 NW11421","SEAKG","SEAK","Alaska marine, Region 1, ELFIN COVE,  Quadrant NW, District 114, Subdistrict 21","SEAK","SEAKG","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M102    NW11421","NSEAK",16
"17","1","M","1M102    NW11421",NA,"AK M 1 02 NW11421","SEAK","SEAK","Alaska marine, Region 1, ELFIN COVE, Quadrant NW, District 114, Subdistrict 21","SEAK","SENW","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M102    NW11421","NSEAK",17
"18","1","M","1M102    NW11450",1,"AK M 1 02 NW11450","SEAK","SEAK","Alaska marine, Region 1, ELFIN COVE, Quadrant NW, District 114, Subdistrict 50","SEAK","SENW","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M102    NW11450","NSEAK",18
"19","1","M","1M102MB  NE11140",NA,"AM M 1 02 MBNE11140",NA,NA,"Alaska marine, Region 1, ELFIN COVE, MB,  Quadrant NE, District 113, Subdistrict","SEAK","SEAKG","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M102MB  NE11140","NSEAK",19
"20","1","M","1M102MB  NW",NA,"AK M 1 02 MBNW","SEAK","SEAK","Alaska marine, Region 1, ELFIN COVE, MB, Quadrant NW","SEAK","SENW","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M102MB  NW","NSEAK",20
"21","1","M","1M102MB  NW113",1,"AK M 1 02 MBNW113","SEAKG","SEAK","Alaska marine, Region 1, ELFIN COVE, MB,  Quadrant NW, District 113, Subdistrict","SEAK","SEAKG","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M102MB  NW113","NSEAK",21
"22","1","M","1M102MB  NW11301",NA,"AK M 1 02 MBNW11301",NA,NA,"Alaska marine, Region 1, ELFIN COVE, MB,  Quadrant NW, District 113, Subdistrict","SEAK","SEAKG","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M102MB  NW11301","NSEAK",22
"23","1","M","1M102MB  NW11391",1,"AK M 1 02 MBNW11391","SEAKG","SEAK","Alaska marine, Region 1, ELFIN COVE, MB,  Quadrant NW, District 113, Subdistrict 91","SEAK","SEAKG","NSE","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","NSEAK","1M102MB  NW11391","NSEAK",23
